position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl
EUR/USD.SIM-MACDCross-000-539ad66d-4f48-483b-b737-d8c43fa369d3,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250325-010000-001-000-97,O-20250325-080000-001-000-98,BUY,FLAT,0,100000,2025-03-25 01:00:00+00:00,1742889600000000000,2025-03-25 08:00:00+00:00,25200000000000,1.0805,1.07933,['4.32 USD'],-0.00108,-121.32 USD
EUR/USD.SIM-MACDCross-000-2b41aeb0-aa61-463b-bd5f-9b1ab5ef8e5f,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250325-090000-001-000-99,O-20250325-190000-001-000-100,BUY,FLAT,0,100000,2025-03-25 09:00:00+00:00,1742929200000000000,2025-03-25 19:00:00+00:00,36000000000000,1.08038,1.0798,['4.32 USD'],-0.00054,-62.32 USD
EUR/USD.SIM-MACDCross-000-7c1cd19f-a39c-4e41-9842-4b39086ea1b8,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250326-080000-001-000-101,O-20250326-130000-001-000-102,BUY,FLAT,0,100000,2025-03-26 08:00:00+00:00,1742994000000000000,2025-03-26 13:00:00+00:00,18000000000000,1.08015,1.07759,['4.32 USD'],-0.00237,-260.32 USD
EUR/USD.SIM-MACDCross-000-20d32b2e-770d-436f-957d-5ea1ec25181d,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250326-140000-001-000-103,O-20250326-150000-001-000-104,BUY,FLAT,0,100000,2025-03-26 14:00:00+00:00,1743001200000000000,2025-03-26 15:00:00+00:00,3600000000000,1.07933,1.0784,['4.32 USD'],-0.00086,-97.32 USD
EUR/USD.SIM-MACDCross-000-dbe9a191-f1e8-4ddd-aff9-5641f317cfe1,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250326-160000-001-000-105,O-20250326-170000-001-000-106,BUY,FLAT,0,100000,2025-03-26 16:00:00+00:00,1743008400000000000,2025-03-26 17:00:00+00:00,3600000000000,1.07898,1.07596,['4.31 USD'],-0.0028,-306.31 USD
EUR/USD.SIM-MACDCross-000-ad4c45dd-e232-49b1-ba77-dc22baef4161,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250327-020000-001-000-107,O-20250328-030000-001-000-108,BUY,FLAT,0,100000,2025-03-27 02:00:00+00:00,1743130800000000000,2025-03-28 03:00:00+00:00,90000000000000,1.07793,1.07945,['4.32 USD'],0.00141,147.68 USD
EUR/USD.SIM-MACDCross-000-067c6013-fa5d-491a-ab82-e7869bce22a1,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250328-130000-001-000-109,O-20250331-070000-001-000-110,BUY,FLAT,0,100000,2025-03-28 13:00:00+00:00,1743404400000000000,2025-03-31 07:00:00+00:00,237600000000000,1.08143,1.08342,['4.33 USD'],0.00184,194.67 USD
EUR/USD.SIM-MACDCross-000-887491a9-17dd-4622-8f8b-2bc59e3abea2,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250401-000000-001-000-111,O-20250401-050000-001-000-112,BUY,FLAT,0,100000,2025-04-01 00:00:00+00:00,1743483600000000000,2025-04-01 05:00:00+00:00,18000000000000,1.08284,1.08108,['4.33 USD'],-0.00163,-180.33 USD
EUR/USD.SIM-MACDCross-000-f7958c60-ffc1-4359-b052-4695f9b8980b,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250401-230000-001-000-113,O-20250403-170000-001-000-114,BUY,FLAT,0,100000,2025-04-01 23:00:00+00:00,1743699600000000000,2025-04-03 17:00:00+00:00,151200000000000,1.0798,1.10302,['4.37 USD'],0.0215,2317.63 USD
EUR/USD.SIM-MACDCross-000-4f3e399f-8a3f-44b6-9ca2-0896159e7866,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250407-050000-001-000-115,O-20250407-130000-001-000-116,BUY,FLAT,0,100000,2025-04-07 05:00:00+00:00,1744030800000000000,2025-04-07 13:00:00+00:00,28800000000000,1.10193,1.09421,['4.39 USD'],-0.00701,-776.39 USD
EUR/USD.SIM-MACDCross-000-9584c543-1545-4d22-8ac1-98ae37ed7765,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250408-000000-001-000-117,O-20250408-100000-001-000-118,BUY,FLAT,0,100000,2025-04-08 00:00:00+00:00,1744106400000000000,2025-04-08 10:00:00+00:00,36000000000000,1.09421,1.09302,['4.38 USD'],-0.00109,-123.38 USD
EUR/USD.SIM-MACDCross-000-ff54c2e4-03fc-4cbc-a3d9-1e4d3b5f53c9,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250408-120000-001-000-119,O-20250408-140000-001-000-120,BUY,FLAT,0,100000,2025-04-08 12:00:00+00:00,1744120800000000000,2025-04-08 14:00:00+00:00,7200000000000,1.09505,1.09135,['4.37 USD'],-0.00338,-374.37 USD
EUR/USD.SIM-MACDCross-000-5953745b-e554-4e73-a1c5-daad60222c39,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250408-180000-001-000-121,O-20250409-140000-001-000-122,BUY,FLAT,0,100000,2025-04-08 18:00:00+00:00,1744207200000000000,2025-04-09 14:00:00+00:00,72000000000000,1.09553,1.10424,['4.40 USD'],0.00795,866.60 USD
EUR/USD.SIM-MACDCross-000-ac1f3a04-f54b-465e-8cf8-f252d80ae635,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250410-070000-001-000-123,O-20250411-110000-001-000-124,BUY,FLAT,0,100000,2025-04-10 07:00:00+00:00,1744369200000000000,2025-04-11 11:00:00+00:00,100800000000000,1.10314,1.13289,['4.48 USD'],0.02697,2970.52 USD
EUR/USD.SIM-MACDCross-000-4ad339e1-20b9-4f38-ac07-b9945a8d7d66,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250416-000000-001-000-125,O-20250417-000000-001-000-126,BUY,FLAT,0,100000,2025-04-16 00:00:00+00:00,1744848000000000000,2025-04-17 00:00:00+00:00,86400000000000,1.13199,1.13701,['4.53 USD'],0.00443,497.47 USD
EUR/USD.SIM-MACDCross-000-25c38136-15aa-49b4-9538-826938f1dba3,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250417-210000-001-000-127,O-20250418-060000-001-000-128,BUY,FLAT,0,100000,2025-04-17 21:00:00+00:00,1744956000000000000,2025-04-18 06:00:00+00:00,32400000000000,1.1374,1.13675,['4.54 USD'],-0.00057,-69.54 USD
EUR/USD.SIM-MACDCross-000-d939a58d-147a-41d1-8795-1c6ccb85894f,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250418-100000-001-000-129,O-20250421-140000-001-000-130,BUY,FLAT,0,100000,2025-04-18 10:00:00+00:00,1745244000000000000,2025-04-21 14:00:00+00:00,273600000000000,1.13779,1.15009,['4.58 USD'],0.01081,1225.42 USD
EUR/USD.SIM-MACDCross-000-3e4fde9a-b0a3-48fc-a8eb-eeecffb84116,BACKTESTER-001,MACDCross-000,EUR/USD.SIM,SIM-001,O-20250423-070000-001-000-131,O-20250423-140000-001-000-132,BUY,FLAT,0,100000,2025-04-23 07:00:00+00:00,1745416800000000000,2025-04-23 14:00:00+00:00,25200000000000,1.13869,1.13533,['4.55 USD'],-0.00295,-340.55 USD
